datePST,timePST,stage_ft
20160131,1030,29.66
20160131,1045,29.7
20160131,1100,29.68
20160131,1115,29.28
20160131,1130,29.39
20160131,1145,29.38
20160131,1200,29.34
20160131,1215,29.42
20160131,1230,29.44
20160131,1245,29.41
20160131,1300,29.4
20160131,1315,29.43
20160131,1330,29.52
20160131,1345,29.47
20160131,1400,29.54
20160131,1415,29.48
20160131,1430,29.53
20160131,1445,29.56
20160131,1500,29.55
20160131,1515,29.6
20160131,1530,29.54
20160131,1545,29.55
20160131,1600,29.49
20160131,1615,29.56
20160131,1630,29.61
20160131,1645,29.63
20160131,1700,29.61
20160131,1715,29.63
20160131,1730,29.64
20160131,1745,29.69
20160131,1800,29.61
20160131,1815,29.7
20160131,1830,29.64
20160131,1845,29.63
20160131,1900,29.74
20160131,1915,29.78
20160131,1930,29.74
20160131,1945,29.73
20160131,2000,29.68
20160131,2015,29.78
20160131,2030,29.76
20160131,2045,29.69
20160131,2100,29.6
20160131,2115,29.71
20160131,2130,29.65
20160131,2145,29.67
20160131,2200,29.73
20160131,2215,29.66
20160131,2230,29.64
20160131,2245,29.69
20160131,2300,29.69
20160131,2315,29.75
20160131,2330,29.68
20160131,2345,29.65
20160201,0,29.79
20160201,15,29.74
20160201,30,29.78
20160201,45,29.7
20160201,100,29.78
20160201,115,29.73
20160201,130,29.69
20160201,145,29.76
20160201,200,29.73
20160201,215,29.78
20160201,230,29.69
20160201,245,29.71
20160201,300,29.67
20160201,315,29.7
20160201,330,29.72
20160201,345,29.76
20160201,400,29.69
20160201,415,29.73
20160201,430,29.69
20160201,445,29.69
20160201,500,29.67
20160201,515,29.62
20160201,530,29.65
20160201,545,29.68
20160201,600,29.67
20160201,615,29.69
20160201,630,29.66
20160201,645,29.63
20160201,700,29.66
20160201,715,29.6
20160201,730,29.68
20160201,745,29.66
20160201,800,29.6
20160201,815,29.71
20160201,830,29.69
20160201,845,29.61
20160201,900,29.67
20160201,915,29.59
20160201,930,29.64
20160201,945,29.59
20160201,1000,29.59
20160201,1015,29.71
20160201,1030,29.68
20160201,1045,29.61
20160201,1100,29.65
20160201,1115,29.49
20160201,1130,29.47
