"","id","TagDate","RelSite","RelLoc","RelDate","RelTime","wtempC","weight","FL","AirTime","CanID","RelEv"
"138",36506,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,62.2,177,"1:26",4,1
"139",36507,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,32.8,147,"1:25",4,1
"140",36508,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,65,179,"1:24",4,1
"141",36509,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,25.2,132,"1:33",4,1
"142",36510,"2016-03-16","S1","TISDALE","2016-03-17","1800",12.2,72.7,187,"1:37",2,5
"143",36511,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,49,162,"1:49",4,1
"144",36513,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,39.1,150,"1:31",4,1
"145",36514,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,69.1,183,"1:36",10,1
"146",36515,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,68.9,179,"1:40",10,1
"147",36516,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,38.7,153,"1:44",10,1
"148",36517,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,44.8,160,"1:51",10,1
"149",36518,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,54.6,169,"1:51",10,1
"150",36519,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,18.5,119,"2:06",10,1
"151",36520,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,41,155,"1:53",10,1
"152",36521,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,29.4,138,"1:37",10,1
"153",36522,"2016-03-10","T1","TISDALE","2016-03-11","7",11,65.6,181,"2:34",2,3
"154",36523,"2016-03-10","T1","TISDALE","2016-03-11","13",11,65.2,180,"2:10",4,3
"155",36525,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,38.3,150,"1:35",12,1
"156",36526,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,81.6,195,"1:44",12,1
"157",36528,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,45.7,168,"2:28",12,1
"158",36529,"2016-03-10","T2","TISDALE","2016-03-11","402",11,43,156,"1:58",5,3
"159",36531,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,38.7,152,"1:26",12,1
"160",36532,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,54.4,167,"1:27",12,1
"161",36533,"2016-03-10","T2","TISDALE","2016-03-11","411",11,59.3,174,"1:58",8,3
"162",36534,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,35,151,"2:04",12,1
"163",36535,"2016-03-14","S1","TISDALE","2016-03-15","1800",11.4,67.5,183,"2:15",1,4
"164",36536,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,38.9,158,"1:29",12,1
"165",36537,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,46.3,163,"1:35",6,1
"166",36581,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,21.5,127,"2:01",6,1
"167",36583,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,66.1,182,"2:10",6,1
"168",36584,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,24,134,"",6,1
